node,lineage
NODE_0000741,B.1.617.2.10
NODE_0000742,B.1.617.2.10
NODE_0000743,B.1.617.2.10
NODE_0000744,B.1.617.2.10
NODE_0000745,B.1.617.2.10
NODE_0000746,B.1.617.2.10
NODE_0000747,B.1.617.2.10
NODE_0000748,B.1.617.2.10
NODE_0000749,B.1.617.2.10
NODE_0000750,B.1.617.2.10
NODE_0000751,B.1.617.2.10
NODE_0000752,B.1.617.2.10
NODE_0000753,B.1.617.2.11
NODE_0000754,B.1.617.2.11
NODE_0000755,B.1.617.2.11
NODE_0000756,B.1.617.2.11
NODE_0000757,B.1.617.2.11
NODE_0000758,B.1.617.2.11
NODE_0000759,B.1.617.2.11
NODE_0000760,B.1.617.2.11
NODE_0000761,B.1.617.2.11
NODE_0000762,B.1.617.2.11
NODE_0000763,B.1.617.2.11
NODE_0000764,B.1.617.2.9
NODE_0000765,B.1.617.2.9
NODE_0000766,B.1.617.2.9
NODE_0000767,B.1.617.2.9
NODE_0000768,B.1.617.2.9
NODE_0000769,B.1.617.2.9
NODE_0000770,B.1.617.2.9
NODE_0000771,B.1.617.2.9
NODE_0000772,B.1.617.2.9
NODE_0000773,B.1.617.2.9
NODE_0000774,B.1.617.2.9
NODE_0000775,B.1.617.2
NODE_0000776,B.1.617.2
NODE_0000777,B.1.617.2
NODE_0000778,B.1.617.2
NODE_0000779,B.1.617.2.26
NODE_0000780,B.1.617.2.26
NODE_0000781,B.1.617.2.26
NODE_0000782,B.1.617.2.26
NODE_0000783,B.1.617.2.26
NODE_0000784,B.1.617.2.26
NODE_0000785,B.1.617.2.26
NODE_0000786,B.1.617.2.26
NODE_0000787,B.1.617.2.26
NODE_0000788,B.1.617.2.26
NODE_0000789,B.1.617.2.26
NODE_0000790,B.1.617.2.26
NODE_0000791,B.1.617.2.26
NODE_0000792,B.1.617.2.26
NODE_0000793,B.1.617.2.26
NODE_0000794,B.1.617.2.26
NODE_0000795,B.1.617.2.26
NODE_0000796,B.1.617.2.26
NODE_0000797,B.1.617.2.26
NODE_0000798,B.1.617.2.26
NODE_0000799,B.1.617.2.26
NODE_0000800,B.1.617.2.26
NODE_0000801,B.1.617.2.26
NODE_0000802,B.1.617.2.26
NODE_0000803,B.1.617.2.26
NODE_0000804,B.1.617.2.26
NODE_0000805,B.1.617.2.26
NODE_0000806,B.1.617.2.26
